Recording timestamp,Computer timestamp,Sensor,Project name,Export date,Participant name,Recording name,Recording date,Recording date UTC,Recording start time,Recording start time UTC,Recording duration,Timeline name,Recording Fixation filter name,Recording software version,Recording resolution height,Recording resolution width,Recording monitor latency,Average calibration accuracy (mm),Average calibration precision SD (mm),Average calibration precision RMS (mm),Average calibration accuracy (degrees),Average calibration precision SD (degrees),Average calibration precision RMS (degrees),Average calibration accuracy (pixels),Average calibration precision SD (pixels),Average calibration precision RMS (pixels),Average validation accuracy (mm),Average validation precision SD (mm),Average validation precision RMS (mm),Average validation accuracy (degrees),Average validation precision SD (degrees),Average validation precision RMS (degrees),Average validation accuracy (pixels),Average validation precision SD (pixels),Average validation precision RMS (pixels),Eyetracker timestamp,Event,Event value,Gaze point X,Gaze point Y,Gaze point left X,Gaze point left Y,Gaze point right X,Gaze point right Y,Gaze direction left X,Gaze direction left Y,Gaze direction left Z,Gaze direction right X,Gaze direction right Y,Gaze direction right Z,Pupil diameter left,Pupil diameter right,Validity left,Validity right,Eye position left X (DACSmm),Eye position left Y (DACSmm),Eye position left Z (DACSmm),Eye position right X (DACSmm),Eye position right Y (DACSmm),Eye position right Z (DACSmm),Gaze point left X (DACSmm),Gaze point left Y (DACSmm),Gaze point right X (DACSmm),Gaze point right Y (DACSmm),Gaze point X (MCSnorm),Gaze point Y (MCSnorm),Gaze point left X (MCSnorm),Gaze point left Y (MCSnorm),Gaze point right X (MCSnorm),Gaze point right Y (MCSnorm),Presented Stimulus name,Presented Media name,Presented Media width,Presented Media height,Presented Media position X (DACSpx),Presented Media position Y (DACSpx),Original Media width,Original Media height,Eye movement type,Gaze event duration,Eye movement type index,Fixation point X,Fixation point Y,Fixation point X (MCSnorm),Fixation point Y (MCSnorm),testAOI,Ungrouped,AOI hit [A3 - Rectangle],aoi,Client area position X (DACSpx),Client area position Y (DACSpx),Viewport position X,Viewport position Y,Viewport width,Viewport height,Full page width,Full page height,Mouse position X,Mouse position Y
46236084,6138272680,,Project4,2024/08/05,test,Recording3,2024/08/05,2024/08/05,14:03:02.720,05:03:02.720,53109,Timeline1,Tobii I-VT (Fixation),1.181.37603,1080,1920,10.0,61.7,67.5,64.0,0.51,1.28,1.25,198,217,206,17.1,9.6,6.7,1.79,1.01,0.7,55,31,21,,VideoStimulusStart,B3 - Trim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fixation,367.0,63.0,1733.0,1027.0,0.9028,0.9592,,,,0.0,,,,,,,,,,
46241426,6138278022,Eye Tracker,Project4,2024/08/05,test,Recording3,2024/08/05,2024/08/05,14:03:02.720,05:03:02.720,53109,Timeline1,Tobii I-VT (Fixation),1.181.37603,1080,1920,10.0,61.7,67.5,64.0,0.51,1.28,1.25,198,217,206,17.1,9.6,6.7,1.79,1.01,0.7,55,31,21,6201142109.0,,,1745.0,1029.0,1758.0,1019.0,1733.0,1038.0,0.43981,0.24811,-0.86314,0.33699,0.25061,-0.90754,4.959,4.762,Valid,Valid,280.8,167.1,523.1,339.1,174.1,540.2,547.4,317.5,539.7,323.3,0.909,0.961,0.9154,0.9522,0.9025,0.9699,B3 - Trim,B3 - Trim.mp4,1920.0,1060.0,0.0,10.0,1920.0,1060.0,Fixation,367.0,63.0,1733.0,1027.0,0.9028,0.9592,,,,0.0,,,,,,,,,,
46249760,6138286356,Eye Tracker,Project4,2024/08/05,test,Recording3,2024/08/05,2024/08/05,14:03:02.720,05:03:02.720,53109,Timeline1,Tobii I-VT (Fixation),1.181.37603,1080,1920,10.0,61.7,67.5,64.0,0.51,1.28,1.25,198,217,206,17.1,9.6,6.7,1.79,1.01,0.7,55,31,21,6201150443.0,,,1734.0,1026.0,1735.0,1011.0,1734.0,1040.0,0.43104,0.24535,-0.86834,0.33761,0.25176,-0.907,4.974,4.77,Valid,Valid,280.7,167.2,522.8,339.0,174.1,540.2,540.3,314.9,540.1,324.0,0.9033,0.9583,0.9035,0.9445,0.9032,0.9721,B3 - Trim,B3 - Trim.mp4,1920.0,1060.0,0.0,10.0,1920.0,1060.0,Fixation,367.0,63.0,1733.0,1027.0,0.9028,0.9592,,,,0.0,,,,,,,,,,
46258093,6138294689,Eye Tracker,Project4,2024/08/05,test,Recording3,2024/08/05,2024/08/05,14:03:02.720,05:03:02.720,53109,Timeline1,Tobii I-VT (Fixation),1.181.37603,1080,1920,10.0,61.7,67.5,64.0,0.51,1.28,1.25,198,217,206,17.1,9.6,6.7,1.79,1.01,0.7,55,31,21,6201158776.0,,,1736.0,1025.0,1743.0,1012.0,1730.0,1038.0,0.43436,0.24545,-0.86665,0.33595,0.25102,-0.90781,4.983,4.774,Valid,Valid,280.6,167.1,523.0,338.9,174.1,540.1,542.8,315.3,538.8,323.4,0.9043,0.9579,0.9077,0.9456,0.901,0.9702,B3 - Trim,B3 - Trim.mp4,1920.0,1060.0,0.0,10.0,1920.0,1060.0,Fixation,367.0,63.0,1733.0,1027.0,0.9028,0.9592,,,,0.0,,,,,,,,,,
46266426,6138303022,Eye Tracker,Project4,2024/08/05,test,Recording3,2024/08/05,2024/08/05,14:03:02.720,05:03:02.720,53109,Timeline1,Tobii I-VT (Fixation),1.181.37603,1080,1920,10.0,61.7,67.5,64.0,0.51,1.28,1.25,198,217,206,17.1,9.6,6.7,1.79,1.01,0.7,55,31,21,6201167109.0,,,1741.0,1027.0,1745.0,1021.0,1736.0,1033.0,0.43517,0.24943,-0.86511,0.33912,0.24793,-0.90748,4.971,4.775,Valid,Valid,280.5,167.2,522.9,338.8,174.0,540.3,543.6,318.0,540.7,321.6,0.9066,0.9592,0.909,0.9537,0.9043,0.9647,B3 - Trim,B3 - Trim.mp4,1920.0,1060.0,0.0,10.0,1920.0,1060.0,Fixation,367.0,63.0,1733.0,1027.0,0.9028,0.9592,,,,0.0,,,,,,,,,,
46274759,6138311355,Eye Tracker,Project4,2024/08/05,test,Recording3,2024/08/05,2024/08/05,14:03:02.720,05:03:02.720,53109,Timeline1,Tobii I-VT (Fixation),1.181.37603,1080,1920,10.0,61.7,67.5,64.0,0.51,1.28,1.25,198,217,206,17.1,9.6,6.7,1.79,1.01,0.7,55,31,21,6201175442.0,,,1742.0,1035.0,1757.0,1035.0,1727.0,1035.0,0.43916,0.25546,-0.86133,0.33494,0.2497,-0.90855,4.953,4.765,Valid,Valid,280.4,167.1,523.0,338.7,174.0,540.1,547.1,322.3,537.8,322.4,0.9071,0.967,0.9149,0.9668,0.8994,0.9672,B3 - Trim,B3 - Trim.mp4,1920.0,1060.0,0.0,10.0,1920.0,1060.0,Saccade,92.0,178.0,,,,,,,,0.0,,,,,,,,,,
46283093,6138319689,Eye Tracker,Project4,2024/08/05,test,Recording3,2024/08/05,2024/08/05,14:03:02.720,05:03:02.720,53109,Timeline1,Tobii I-VT (Fixation),1.181.37603,1080,1920,10.0,61.7,67.5,64.0,0.51,1.28,1.25,198,217,206,17.1,9.6,6.7,1.79,1.01,0.7,55,31,21,6201183776.0,,,1705.0,1005.0,1687.0,992.0,1724.0,1018.0,0.41261,0.2384,-0.87916,0.33443,0.24124,-0.91102,4.952,4.751,Valid,Valid,280.3,167.4,522.1,338.6,173.9,540.0,525.3,309.0,536.8,316.9,0.8881,0.9385,0.8785,0.9265,0.8977,0.9505,B3 - Trim,B3 - Trim.mp4,1920.0,1060.0,0.0,10.0,1920.0,1060.0,Saccade,92.0,178.0,,,,,,,,0.0,,,,,,,,,,
46291426,6138328022,Eye Tracker,Project4,2024/08/05,test,Recording3,2024/08/05,2024/08/05,14:03:02.720,05:03:02.720,53109,Timeline1,Tobii I-VT (Fixation),1.181.37603,1080,1920,10.0,61.7,67.5,64.0,0.51,1.28,1.25,198,217,206,17.1,9.6,6.7,1.79,1.01,0.7,55,31,21,6201192109.0,,,1689.0,933.0,1669.0,925.0,1709.0,940.0,0.40781,0.20588,-0.88955,0.33084,0.20363,-0.92146,5.025,4.812,Valid,Valid,280.1,167.0,522.8,338.4,173.5,540.1,519.7,287.9,532.3,292.9,0.8797,0.8703,0.8692,0.8628,0.8902,0.8778,B3 - Trim,B3 - Trim.mp4,1920.0,1060.0,0.0,10.0,1920.0,1060.0,Saccade,92.0,178.0,,,,,,,,0.0,,,,,,,,,,
46299759,6138336355,Eye Tracker,Project4,2024/08/05,test,Recording3,2024/08/05,2024/08/05,14:03:02.720,05:03:02.720,53109,Timeline1,Tobii I-VT (Fixation),1.181.37603,1080,1920,10.0,61.7,67.5,64.0,0.51,1.28,1.25,198,217,206,17.1,9.6,6.7,1.79,1.01,0.7,55,31,21,6201200442.0,,,1638.0,833.0,1616.0,844.0,1659.0,822.0,0.3876,0.16688,-0.9066,0.31104,0.14381,-0.93945,5.054,4.851,Valid,Valid,279.9,166.7,522.6,338.1,173.2,539.8,503.3,262.9,516.8,255.9,0.853,0.7762,0.8417,0.7868,0.8643,0.7656,B3 - Trim,B3 - Trim.mp4,1920.0,1060.0,0.0,10.0,1920.0,1060.0,Saccade,92.0,178.0,,,,,,,,0.0,,,,,,,,,,
46308093,6138344689,Eye Tracker,Project4,2024/08/05,test,Recording3,2024/08/05,2024/08/05,14:03:02.720,05:03:02.720,53109,Timeline1,Tobii I-VT (Fixation),1.181.37603,1080,1920,10.0,61.7,67.5,64.0,0.51,1.28,1.25,198,217,206,17.1,9.6,6.7,1.79,1.01,0.7,55,31,21,6201208776.0,,,1588.0,740.0,1559.0,767.0,1618.0,713.0,0.36324,0.12801,-0.92286,0.29326,0.08679,-0.95209,4.945,4.775,Valid,Valid,279.7,166.3,522.5,337.8,172.9,539.7,485.4,238.8,504.1,222.1,0.8273,0.6885,0.8117,0.7138,0.8429,0.6632,B3 - Trim,B3 - Trim.mp4,1920.0,1060.0,0.0,10.0,1920.0,1060.0,Saccade,92.0,178.0,,,,,,,,0.0,,,,,,,,,,
